canyon,mtnrange,elev_range,riparian_fragmentation,canyon_area,riparian_ cover,sagebrush_cover,rabbitbrush_cover,terrain_ruggedness_100,terrain_ruggedness_500,canopy_cover_100,canopy_cover_500,canyon_bottom_100,canyon_bottom_500,2001_total_precip_MarAprMay,2002_total_precip_MarAprMay,2003_total_precip_MarAprMay,2004_total_precip_MarAprMay,2005_total_precip_MarAprMay,2006_total_precip_MarAprMay,2007_total_precip_MarAprMay,2008_total_precip_MarAprMay,2009_total_precip_MarAprMay,2010_total_precip_MarAprMay,2011_total_precip_MarAprMay,2012_total_precip_MarAprMay,2013_total_precip_MarAprMay,2014_total_precip_MarAprMay,2015_total_precip_MarAprMay,2001_maxtemp_MarAprMay,2002_maxtemp_MarAprMay,2003_maxtemp_MarAprMay,2004_maxtemp_MarAprMay,2005_maxtemp_MarAprMay,2006_maxtemp_MarAprMay,2007_maxtemp_MarAprMay,2008_maxtemp_MarAprMay,2009_maxtemp_MarAprMay,2010_maxtemp_MarAprMay,2011_maxtemp_MarAprMay,2012_maxtemp_MarAprMay,2013_maxtemp_MarAprMay,2014_maxtemp_MarAprMay,2015_maxtemp_MarAprMay,2001_mintemp_MarAprMay,2002_mintemp_MarAprMay,2003_mintemp_MarAprMay,2004_mintemp_MarAprMay,2005_mintemp_MarAprMay,2006_mintemp_MarAprMay,2007_mintemp_MarAprMay,2008_mintemp_MarAprMay,2009_mintemp_MarAprMay,2010_mintemp_MarAprMay,2011_mintemp_MarAprMay,2012_mintemp_MarAprMay,2013_mintemp_MarAprMay,2014_mintemp_MarAprMay,2015_mintemp_MarAprMay,2001_mean_maxtemp_MarAprMay,2002_mean_maxtemp_MarAprMay,2003_mean_maxtemp_MarAprMay,2004_mean_maxtemp_MarAprMay,2005_mean_maxtemp_MarAprMay,2006_mean_maxtemp_MarAprMay,2007_mean_maxtemp_MarAprMay,2008_mean_maxtemp_MarAprMay,2009_mean_maxtemp_MarAprMay,2010_mean_maxtemp_MarAprMay,2011_mean_maxtemp_MarAprMay,2012_mean_maxtemp_MarAprMay,2013_mean_maxtemp_MarAprMay,2014_mean_maxtemp_MarAprMay,2015_mean_maxtemp_MarAprMay,2001_mean_mintemp_MarAprMay,2002_mean_mintemp_MarAprMay,2003_mean_mintemp_MarAprMay,2004_mean_mintemp_MarAprMay,2005_mean_mintemp_MarAprMay,2006_mean_mintemp_MarAprMay,2007_mean_mintemp_MarAprMay,2008_mean_mintemp_MarAprMay,2009_mean_mintemp_MarAprMay,2010_mean_mintemp_MarAprMay,2011_mean_mintemp_MarAprMay,2012_mean_mintemp_MarAprMay,2013_mean_mintemp_MarAprMay,2014_mean_mintemp_MarAprMay,2015_mean_mintemp_MarAprMay
Elkhorn,Monitor,100,7500,25.888,0,0.00,0.00,281.470,192.219,0.438,0.304,0.326,0.011,107.19,85.85,148.34,79,221.99,149.86,98.56,46.74,120.14,141.98,187.7,84.34,64.26,99.31,110.49,20.2,16.7,16.8,17.4,15.7,18.3,18.6,14.8,19.3,12,12.7,18,16.7,16.8,14.1,-4.3,-8.2,-6.1,-1.6,-4.6,-7.8,-3.1,-5.7,-5.6,-6.1,-6.1,-4.1,-2.7,-3.7,-2.1,12.63,11.80,11.17,13.80,11.07,10.97,13.67,11.47,12.40,9.17,9.97,12.90,12.60,12.37,12.20,-1.60,-3.43,-2.77,-0.27,-1.67,-1.87,-0.30,-3.17,-1.57,-4.10,-3.43,-0.77,-0.87,-0.93,-0.43
GrassSprings,Toiyabe,50,7500,69.5101,0,0.05,0.20,196.227,293.778,0.078,0.477,0.000,0.150,93.47,91.95,146.55,69.1,184.15,144.02,95.5,61.98,111.26,142.75,169.67,90.17,57.65,112.77,105.16,23.4,18.6,19.2,19.3,17.9,20.6,21,17.3,21.4,14.2,15.1,20.3,19.2,20.8,16.8,-1.9,-5.7,-2.8,0.4,-2.7,-5.8,-1.8,-4.6,-4.1,-4.1,-3.3,-1.7,-0.6,-1,-0.2,15.47,13.97,13.43,15.77,13.33,13.53,16.03,13.63,14.37,11.73,11.87,15.70,15.27,15.97,15.27,0.77,-0.90,0.13,2.07,0.23,-0.13,0.97,-1.50,0.10,-2.03,-1.33,0.77,0.80,1.67,1.37
Jett,Toiyabe,284,1,748.847,0.295,0.13,0.04,333.232,392.331,0.426,0.344,0.237,0.042,100.67,81.87666667,141.5633333,69.43333333,199.73,143.85,92.62666667,55.96333333,112.35,134.9533333,172.3833333,80.51,53.59666667,106.3433333,117.6833333,20.5,17.1,17.56666667,17.5,16.06666667,17.96666667,18.56666667,14.8,19.3,12.06666667,13.16666667,17.6,17.6,17.3,14.2,-3.066666667,-7.1,-5.066666667,-0.766666667,-3.633333333,-7.233333333,-2.366666667,-5.166666667,-4.966666667,-4.7,-3.966666667,-3.066666667,-2.8,-2.7,-1.966666667,13.00,12.14,11.58,14.32,11.72,11.14,14.03,11.62,12.76,9.64,10.14,13.31,13.42,13.16,12.70,-0.36,-2.20,-1.88,0.62,-0.83,-1.00,0.37,-2.24,-0.83,-3.01,-2.18,-0.06,-0.31,-0.07,-0.09
Meadow,Toquima,434,378,1974.99,0.058,0.46,0.12,240.587,278.349,0.125,0.172,0.404,0.166,122.1966667,104.435,176.485,89.23833333,255.4991667,174.1175,120.9841667,62.5225,149.2466667,166.2233333,220.4558333,100.885,75.69416667,120.1233333,130.8266667,19.19166667,15.69166667,15.85,16.15,14.69166667,16.94166667,17.2,13.50833333,18,10.76666667,11.75,16.64166667,15.75833333,15.88333333,12.95,-5.633333333,-9.033333333,-7.691666667,-3,-6.266666667,-9.25,-4.725,-6.816666667,-7.4,-7.283333333,-7.125,-5.625,-3.908333333,-4.883333333,-4.091666667,11.63,10.79,10.31,12.68,10.12,9.78,12.59,10.41,11.23,8.22,8.78,11.85,11.81,11.55,11.12,-2.91,-4.32,-4.10,-1.62,-3.25,-3.11,-1.67,-4.31,-3.08,-5.37,-4.79,-2.10,-2.21,-2.27,-2.44
MooresEast,Toquima,374,1858,1426.04,0.01,0.39,0.12,249.350,274.107,0.177,0.250,0.480,0.146,97.9725,86.485,139.635,75.06,200.285,139.19,92.9625,52.065,114.6175,136.335,167.8325,82.675,57.5325,96.96,115.4475,19.975,16.25,16.55,16.95,15.25,17.675,17.975,14.25,18.725,11.475,12.35,17.4,16.475,16.575,13.65,-3.9,-7.375,-6.075,-1.55,-4.575,-7.625,-3.1,-5.55,-5.625,-5.7,-5.525,-3.875,-2.275,-3.325,-2.775,12.36,11.38,11.03,13.42,10.77,10.62,13.28,11.09,11.93,8.97,9.43,12.67,12.43,12.26,11.88,-1.21,-2.74,-2.47,-0.07,-1.60,-1.58,-0.24,-2.96,-1.43,-3.77,-3.22,-0.60,-0.81,-0.67,-1.00
MooresWest,Toquima,444,4732,1502.87,0,0.46,0.11,250.402,264.598,0.042,0.085,0.029,0.028,88.14,75.815,126.49,67.56,181.99,127.38,83.19,47.37,99.95,123.57,150.87,73.915,50.67,88.01,106.68,20.65,16.9,17.3,17.6,15.9,18.35,18.7,14.9,19.4,12.2,13.1,18.1,17.2,17.3,14.3,-3.3,-6.75,-5.55,-0.75,-3.95,-6.95,-2.45,-4.75,-5,-5,-4.85,-3.15,-1.7,-2.65,-2.25,13.03,12.02,11.72,14.03,11.42,11.25,13.95,11.70,12.55,9.68,10.10,13.32,13.10,12.95,12.52,-0.62,-2.18,-1.93,0.65,-0.98,-0.85,0.53,-2.17,-0.73,-3.08,-2.62,0.10,-0.15,0.02,-0.43
NorthumberlandEast,Toquima,458,5615,1806.15,0,0.60,0.26,262.106,315.497,0.039,0.138,0.304,0.145,131.01,128.114,185.47,101.808,266.748,183.798,130.406,73.51,164.694,189.334,227.222,115.878,78.742,129.39,140.72,18.28,14.48,14.76,15.2,13.62,16.06,16.36,12.56,17.06,9.86,10.62,15.84,14.76,14.96,12.02,-3.98,-7.92,-6.44,-1.36,-4.64,-7.8,-2.86,-5.68,-5.76,-5.58,-5.38,-3.88,-2.7,-3.5,-2.78,10.89,9.84,9.33,11.88,9.35,9.28,11.78,9.48,10.45,7.66,7.79,11.09,10.75,10.69,10.37,-1.39,-3.27,-2.96,-0.09,-1.76,-1.84,-0.27,-3.16,-1.74,-3.89,-3.45,-0.68,-0.97,-0.78,-0.90
NorthumberlandWest,Toquima,590,1758,1494.69,0.006,0.34,0.21,262.543,291.216,0.116,0.227,0.423,0.206,119.4945455,115.8018182,169.9709091,92.26727273,243.2445455,168.4927273,118.3936364,67.54454545,148.0318182,171.98,206.9845455,105.7127273,70.22,119.3572727,132.1727273,18.96363636,15.12727273,15.40909091,15.80909091,14.30909091,16.70909091,17.00909091,13.21818182,17.71818182,10.50909091,11.31818182,16.50909091,15.40909091,15.69090909,12.71818182,-3.5,-7.381818182,-6.018181818,-0.7,-4.172727273,-7.409090909,-2.363636364,-5.236363636,-5.309090909,-5.118181818,-4.909090909,-3.445454545,-2.245454545,-3.009090909,-2.327272727,11.54,10.49,9.97,12.45,9.97,9.93,12.39,10.10,11.06,8.34,8.45,11.73,11.37,11.35,11.03,-0.93,-2.78,-2.49,0.45,-1.28,-1.46,0.21,-2.70,-1.28,-3.44,-2.97,-0.21,-0.51,-0.30,-0.45
Ophir,Toiyabe,1077,5,1380.48,0.182,0.25,0.04,379.977,397.438,0.327,0.212,0.077,0.032,115.9753333,106.8026667,168.036,87.99133333,238.1046667,164.914,117.756,68.94933333,139.6506667,161.1893333,199.496,99.01266667,65.46533333,116.208,133.7533333,18.40666667,14.65333333,14.77333333,15.24666667,13.86,16.06666667,16.56,12.49333333,17.15333333,9.96,10.96666667,15.72666667,15.13333333,15.26,12.22,-4.186666667,-8.033333333,-5.84,-1.406666667,-4.266666667,-7.746666667,-2.6,-5.58,-5.546666667,-5.353333333,-4.906666667,-3.726666667,-3.9,-3.046666667,-2.746666667,11.09,10.17,9.32,12.34,9.96,9.60,12.20,9.74,10.87,8.05,8.40,11.56,11.18,11.36,10.91,-1.32,-3.16,-2.98,-0.04,-1.55,-1.78,-0.27,-3.03,-1.47,-3.87,-3.24,-0.64,-1.21,-0.57,-0.61
Riley,Shoshone,504,299,1325.71,0.077,0.29,0.10,304.348,333.715,0.473,0.406,0.299,0.088,91.278,83.006,133.224,68.752,175.465,128.746,90.678,56.796,104.928,121.489,146.716,76.761,49.508,89.659,117.298,20.52,16.31,16.32,16.99,15.51,18.22,18.41,14.35,19.05,11.88,12.9,17.88,16.64,17.32,14.14,-3.35,-7.06,-5.05,-1.75,-3.98,-7.23,-2.98,-5.81,-5.72,-5.29,-4.88,-3.3,-2.41,-2.35,-2.91,12.89,11.78,10.97,13.80,11.33,11.41,13.77,11.24,12.26,9.53,9.89,13.24,12.62,13.02,12.40,-0.82,-2.64,-2.19,-0.12,-1.25,-1.48,-0.63,-3.03,-1.56,-3.42,-3.00,-0.22,-0.32,0.16,-1.04
Ryegrass,Monitor,298,2185,1570.91,0,0.50,0.24,149.602,183.894,0.291,0.403,0.402,0.272,82.65857143,66.25714286,111.7928571,56.56571429,151.3828571,117.1342857,73.07571429,37.33571429,85.66714286,106.6771429,131.6428571,68.98,44.26428571,81.35,94.59714286,20.52857143,16.65714286,16.97142857,17.84285714,15.68571429,18.47142857,19.08571429,14.97142857,19.4,12.72857143,12.92857143,18.31428571,16.85714286,17.17142857,14.35714286,-3.957142857,-7.442857143,-5.514285714,-1.657142857,-4.5,-8.028571429,-3.128571429,-6.028571429,-5.542857143,-6.171428571,-6.085714286,-4.171428571,-2.7,-3.728571429,-2.342857143,12.80,11.80,11.42,14.17,11.23,11.45,14.04,11.84,12.73,9.68,10.01,13.47,12.74,12.76,12.67,-1.15,-2.70,-2.06,-0.07,-1.40,-1.94,-0.25,-3.31,-1.43,-4.02,-3.22,-0.92,-1.12,-0.88,-0.56
SanJuan,Toiyabe,475,70,1238.16,0.092,0.29,0.12,283.909,309.696,0.475,0.472,0.224,0.054,104.7766667,101.29,153.5475,82.80333333,212.4216667,148.9283333,113.6633333,65.10833333,127.005,138.665,183.7258333,89.6225,56.07166667,105.24,123.7866667,19.69166667,15.69166667,15.775,16.40833333,15.225,17.50833333,17.85,13.71666667,18.46666667,11.20833333,12.38333333,17.15833333,16.1,16.65,13.7,-2.858333333,-6.508333333,-4.866666667,-0.641666667,-3.3,-6.55,-2.1,-4.866666667,-4.908333333,-4.516666667,-4.058333333,-2.641666667,-2.275,-1.791666667,-1.708333333,12.28,11.19,10.41,13.23,11.01,10.87,13.26,10.75,11.85,9.20,9.39,12.73,12.08,12.54,12.04,-0.18,-1.92,-1.66,0.88,-0.46,-0.70,0.34,-2.09,-0.63,-2.81,-2.14,0.53,0.16,0.80,0.21
Stewart,Toiyabe,668,1,728.467,0.089,0.30,0.03,351.916,383.015,0.701,0.499,0.113,0.050,159.875,150.6241667,234.2741667,120.6683333,342.6275,221.9933333,168.3058333,95.54666667,207.6875,217.5741667,290.8275,140.65,96.14083333,165.7108333,177.1941667,15.64166667,11.70833333,11.74166667,12.31666667,10.88333333,13.38333333,13.65833333,9.65,14.3,7.1,8.125,13.00833333,12.1,12.4,9.325,-6.15,-9.775,-7.466666667,-2.966666667,-5.966666667,-9.833333333,-4.133333333,-7.625,-7.366666667,-7.325,-6.666666667,-5.566666667,-5.741666667,-4.791666667,-5.025,8.53,7.56,6.56,9.76,7.30,7.00,9.65,7.19,8.30,5.41,5.78,9.06,8.50,8.77,8.33,-3.23,-4.93,-4.81,-1.80,-3.39,-3.77,-2.03,-5.00,-3.43,-5.89,-5.06,-2.54,-3.07,-2.38,-2.90
Summit,Toiyabe,674,6,926.687,0.199,0.26,0.03,392.072,400.532,0.403,0.277,0.097,0.032,102.5958333,91.72333333,146.8141667,77.0525,206.2508333,146.1333333,102.0441667,60.22,119.5908333,141.6675,171.8733333,86.1075,56.11166667,100.9883333,120.1558333,19.525,15.7,15.825,16.3,14.96666667,17.16666667,17.66666667,13.59166667,18.23333333,11.03333333,12.06666667,16.80833333,16.2,16.36666667,13.275,-3.5,-7.391666667,-5.425,-1.158333333,-3.741666667,-7.133333333,-2.408333333,-5.166666667,-5.258333333,-4.858333333,-4.45,-3.15,-3.091666667,-2.558333333,-2.275,12.12,11.17,10.38,13.26,10.89,10.55,13.18,10.69,11.79,8.98,9.34,12.50,12.16,12.31,11.79,-0.74,-2.63,-2.41,0.35,-1.01,-1.22,0.04,-2.54,-1.03,-3.26,-2.68,-0.08,-0.54,0.00,-0.22
Underdown,Shoshone,641,537,1568.83,0.027,0.32,0.20,256.385,293.704,0.382,0.380,0.358,0.106,115.5471429,108.7257143,167.41,87.79428571,213.5280952,151.5119048,110.1504762,64.0547619,131.8004762,147.7585714,182.3047619,91.25142857,60.32619048,106.6809524,130.3,19.3,15.07142857,15.12142857,15.79285714,14.67142857,17.38571429,17.55238095,13.53333333,18.23333333,10.98571429,11.9047619,16.98571429,15.81904762,16.48571429,13.31904762,-3.75,-7.385714286,-5.128571429,-1.428571429,-4,-7.219047619,-2.633333333,-5.571428571,-5.3,-5.057142857,-4.604761905,-3.180952381,-2.9,-2.295238095,-3.023809524,11.77,10.61,9.69,12.82,10.65,10.70,13.03,10.53,11.62,8.88,9.13,12.51,11.80,12.31,11.68,-1.00,-2.81,-2.45,-0.07,-1.31,-1.52,-0.38,-2.90,-1.31,-3.41,-3.01,-0.18,-0.50,0.10,-0.98
Wall,Toiyabe,579,815,1662.67,0.01,0.19,0.22,269.521,311.790,0.106,0.160,0.436,0.112,92.42818182,74.03181818,127.8581818,63.54272727,194.5616667,139.9455556,89.97166667,55.25666667,110.9077778,131.4033333,166.8733333,79.77055556,52.26388889,101.2594444,112.0172222,20.91818182,17.45454545,17.85454545,17.91818182,16.05555556,18.02777778,18.61666667,14.85555556,19.35555556,12.12777778,13.15555556,17.72777778,17.54444444,17.28888889,14.25555556,-2.854545455,-6.363636364,-4.818181818,-0.927272727,-3.761111111,-8.327777778,-2.205555556,-5.866666667,-5.522222222,-5.422222222,-4.255555556,-3.388888889,-2.811111111,-2.577777778,-2.372222222,13.21,12.42,11.88,14.51,11.43,11.04,13.90,11.59,12.77,9.38,9.81,13.10,13.23,12.88,12.45,-0.24,-1.63,-1.75,0.62,-1.03,-1.56,0.26,-2.61,-1.13,-3.45,-2.31,-0.26,-0.29,-0.02,-0.46
