transect,canyon,mtnrange,transect_area,elev_mean,tri_Riley,precip_2012,precip_2013,precip_2014,precip_2015,maxtemp_2012,maxtemp_2013,maxtemp_2014,maxtemp_2015,mintemp_2012,mintemp_2013,mintemp_2014,mintemp_2015,nectar 2012,nectar 2013,nectar 2014,nectar 2015,mud 2012,mud 2013,mud 2014,mud 2015
CW12,Cottonwood,Wassuk,2.52,2343,498.41,209.31,249.69,280.16,352.55,13.30,12.91,13.37,13.75,1.34,1.26,1.82,2.63,1,2,3,2,0,0,1,0
CW13,Cottonwood,Wassuk,2.08,2385,458.13,209.31,249.69,280.16,352.55,13.30,12.91,13.37,13.75,1.34,1.26,1.82,2.63,2,2,3,2,1,2,3,3
CW14,Cottonwood,Wassuk,3.01,2429,557.82,209.31,249.69,280.16,352.55,13.30,12.91,13.37,13.75,1.34,1.26,1.82,2.63,3,2,2,2,1,2,2,2
CW15,Cottonwood,Wassuk,4.87,2483,610.47,209.31,249.69,280.16,352.55,13.30,12.91,13.37,13.75,1.34,1.26,1.82,2.63,2,3,3,3,2,2,0,1
CW16,Cottonwood,Wassuk,5.43,2549,646.81,224.55,266.7,295.64,362.46,12.34,11.89,12.36,12.76,0.65,0.53,1.13,1.96,3,3,3,3,3,2,3,3
CW17,Cottonwood,Wassuk,3.91,2611,578.33,224.55,266.7,295.64,362.46,12.34,11.89,12.36,12.76,0.65,0.53,1.13,1.96,3,3,3,3,2,1,2,2
CW18,Cottonwood,Wassuk,2.3,2658,461.04,224.55,266.7,295.64,362.46,12.34,11.89,12.36,12.76,0.65,0.53,1.13,1.96,3,3,3,3,2,1,2,3
CW19,Cottonwood,Wassuk,3.17,2702,606.64,224.55,266.7,295.64,362.46,12.34,11.89,12.36,12.76,0.65,0.53,1.13,1.96,3,3,3,3,1,1,2,2
CW20,Cottonwood,Wassuk,3.75,2764,524.69,224.55,266.7,295.64,362.46,12.34,11.89,12.36,12.76,0.65,0.53,1.13,1.96,2,3,3,3,0,0,0,2
DC01,Desert,Sweetwater,1.62,1932,224.1,227.08,301.49,306.58,331.98,15.91,15.24,15.72,16.15,1.65,1.66,2.43,2.98,1,3,2,1,1,1,3,2
DC02,Desert,Sweetwater,1.65,1944,299,227.08,301.49,306.58,331.98,15.91,15.24,15.72,16.15,1.65,1.66,2.43,2.98,0,2,1,1,0,0,1,1
DC03,Desert,Sweetwater,2.24,1962,370.83,227.08,301.49,306.58,331.98,15.91,15.24,15.72,16.15,1.65,1.66,2.43,2.98,1,2,2,1,0,0,1,2
DC04,Desert,Sweetwater,2.15,1982,251.9,227.08,301.49,302.26,331.98,15.91,15.24,15.72,16.15,1.65,1.66,2.43,2.98,0,1,1,1,0,0,1,1
DC05,Desert,Sweetwater,1.57,1989,282.21,254.76,322.33,314.43,347.22,15.21,14.47,14.93,15.35,0.88,1.00,1.91,2.32,0,1,1,1,1,1,2,2
DC06,Desert,Sweetwater,1.74,2002,310.15,254.76,322.33,314.43,347.22,15.21,14.47,14.93,15.35,0.88,1.00,1.91,2.32,1,2,1,1,1,1,3,1
DC07,Desert,Sweetwater,1.89,2014,261.71,254.76,322.33,314.43,347.22,15.21,14.47,14.93,15.35,0.88,1.00,1.91,2.32,1,2,1,1,1,1,0,0
DC08,Desert,Sweetwater,1.68,2029,291.96,254.76,322.33,314.43,347.22,15.21,14.47,14.93,15.35,0.88,1.00,1.91,2.32,2,1,2,2,0,1,2,3
DC09,Desert,Sweetwater,1.46,2035,285.52,254.76,322.33,314.43,347.22,15.21,14.47,14.93,15.35,0.88,1.00,1.91,2.32,1,1,1,2,0,1,1,2
DC10,Desert,Sweetwater,1.63,2048,344.86,254.76,322.33,314.43,347.22,15.21,14.47,14.93,15.35,0.88,1.00,1.91,2.32,2,1,2,2,2,0,0,1
DC11,Desert,Sweetwater,1.66,2062,363.45,254.76,322.33,314.43,347.22,15.21,14.47,14.93,15.35,0.88,1.00,1.91,2.32,1,2,1,1,1,0,2,1
DC12,Desert,Sweetwater,1.59,2078,347.37,254.76,322.33,314.43,347.22,15.21,14.47,14.93,15.35,0.88,1.00,1.91,2.32,2,1,1,1,0,0,0,0
MI01,Mill,Sierra,2.23,1955,286.73,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,2,2,3,3,0,0,0,3
MI02,Mill,Sierra,2.12,1969,198.39,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,2,2,3,3,0,0,0,1
MI03,Mill,Sierra,1.97,1979,274.33,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,1,2,1,3,0,0,0,0
MI04,Mill,Sierra,1.71,2002,296.72,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,2,2,1,3,1,0,0,0
MI05,Mill,Sierra,1.71,2019,220.07,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,2,3,1,2,0,0,0,0
MI06,Mill,Sierra,1.93,2035,318.94,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,1,1,1,1,2,1,0,0
MI07,Mill,Sierra,2.03,2062,320.9,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,1,2,1,2,0,0,0,3
MI08,Mill,Sierra,1.7,2080,364.86,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,0,0,1,1,0,0,0,3
MI09,Mill,Sierra,1.91,2107,372.78,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,0,1,1,1,0,0,0,3
MI10,Mill,Sierra,2.2,2136,438.5,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,1,2,1,1,2,2,0,0
MI11,Mill,Sierra,2.62,2170,456.95,388.62,441.18,408.95,426.48,14.79,14.15,14.65,15.08,0.85,0.93,1.65,2.10,1,1,2,1,0,2,0,3
MI12,Mill,Sierra,2.72,2205,450.91,446.54,462.54,491.24,491.25,11.79,11.27,11.78,12.23,0.58,0.56,1.05,1.81,0,1,2,1,2,1,1,3
SI01,Silver,Sierra,1.68,2574,277.86,478.27,506.73,530.86,500.39,12.14,11.81,12.13,12.64,-0.30,-0.33,-0.05,0.85,2,2,2,3,0,0,1,0
SI02,Silver,Sierra,1.58,2589,321.93,478.27,506.73,530.86,500.39,12.14,11.81,12.13,12.64,-0.30,-0.33,-0.05,0.85,2,2,1,2,0,0,0,1
SI03,Silver,Sierra,1.78,2613,375.46,478.27,506.73,530.86,500.39,12.14,11.81,12.13,12.64,-0.30,-0.33,-0.05,0.85,2,2,2,2,2,2,3,2
SI04,Silver,Sierra,1.84,2626,217.39,478.27,506.73,530.86,500.39,12.14,11.81,12.13,12.64,-0.30,-0.33,-0.05,0.85,2,1,1,1,3,1,0,0
SI05,Silver,Sierra,1.42,2633,261.62,478.27,506.73,530.86,500.39,12.14,11.81,12.13,12.64,-0.30,-0.33,-0.05,0.85,3,2,1,2,3,2,2,3
SI06,Silver,Sierra,1.73,2640,205.56,595.87,659.13,619.75,575.06,9.99,9.64,10.05,10.50,-0.71,-0.77,-0.33,0.56,1,2,2,3,3,2,1,2
SI07,Silver,Sierra,1.81,2649,300.19,595.87,659.13,619.75,1076.96,9.99,9.64,10.05,10.53,-0.71,-0.77,-0.33,0.60,1,2,2,1,2,3,2,0
SI08,Silver,Sierra,1.6,2662,252.76,595.87,659.13,619.75,1076.96,9.99,9.64,10.05,10.53,-0.71,-0.77,-0.33,0.60,2,1,2,3,1,2,2,0
SI09,Silver,Sierra,1.49,2673,273.58,595.87,659.13,619.75,1076.96,9.99,9.64,10.05,10.53,-0.71,-0.77,-0.33,0.60,1,3,2,3,0,3,1,1
SI10,Silver,Sierra,1.52,2683,293.18,595.87,659.13,619.75,575.06,9.99,9.64,10.05,10.50,-0.71,-0.77,-0.33,0.56,3,3,3,3,2,3,3,3
SI11,Silver,Sierra,1.63,2700,284.58,595.87,659.13,619.75,575.06,9.99,9.64,10.05,10.50,-0.71,-0.77,-0.33,0.56,3,3,3,3,3,3,3,3
SM01,Summers,Sierra,1.99,2154,270.65,193.81,270.76,273.82,279.9,16.80,16.26,16.83,17.45,-0.27,-0.28,-0.56,0.63,1,2,1,1,0,0,0,2
SM02,Summers,Sierra,1.86,2168,315.98,193.81,270.76,273.82,279.9,16.80,16.26,16.83,17.45,-0.27,-0.28,-0.56,0.63,1,2,2,2,0,0,0,2
SM03,Summers,Sierra,1.71,2183,379.79,193.81,270.76,273.82,12.95,16.80,16.26,16.83,16.90,-0.27,-0.28,-0.56,-1.30,2,2,2,1,0,0,0,2
SM04,Summers,Sierra,2.86,2201,357.25,258.08,337.81,331.98,19.3,15.33,14.83,15.45,15.50,-0.57,-0.48,-0.58,-1.25,2,3,3,3,0,0,0,1
SM05,Summers,Sierra,3.28,2219,365.05,258.08,337.81,331.98,19.3,15.33,14.83,15.45,15.50,-0.57,-0.48,-0.58,-1.25,3,3,3,3,0,0,0,3
SM06,Summers,Sierra,2.77,2234,347.29,258.08,337.81,331.98,332.73,15.33,14.83,15.45,16.01,-0.57,-0.48,-0.58,0.38,3,3,3,3,1,0,1,0
SM07,Summers,Sierra,2.81,2252,342.28,258.08,337.81,331.98,332.73,15.33,14.83,15.45,16.01,-0.57,-0.48,-0.58,0.38,3,3,2,1,2,1,1,3
SM08,Summers,Sierra,2.39,2286,416.54,258.08,337.81,331.98,332.73,15.33,14.83,15.45,16.01,-0.57,-0.48,-0.58,0.38,2,3,3,3,0,0,0,2
SM09,Summers,Sierra,2.06,2312,390.76,258.08,337.81,331.98,332.73,15.33,14.83,15.45,16.01,-0.57,-0.48,-0.58,0.38,0,2,2,3,0,0,0,3
SM10,Summers,Sierra,2.2,2344,459.35,258.08,337.81,331.98,332.73,15.33,14.83,15.45,16.01,-0.57,-0.48,-0.58,0.38,3,2,3,3,0,0,0,3
SM11,Summers,Sierra,2.57,2389,517.38,258.08,337.81,331.98,332.73,15.33,14.83,15.45,16.01,-0.57,-0.48,-0.58,0.38,3,2,2,3,2,0,0,2
SM12,Summers,Sierra,1.68,2435,441.45,258.08,337.81,331.98,332.73,15.33,14.83,15.45,16.01,-0.57,-0.48,-0.58,0.38,3,2,2,3,2,0,1,3
VL07,Virginia,Sierra,2.39,3015,459.67,411.46,561.34,502.67,442.97,9.96,9.59,9.92,10.48,-0.60,-0.67,-0.22,0.68,2,2,2,1,0,0,0,1
VL08,Virginia,Sierra,1.84,3028,419.32,411.46,561.34,502.67,442.97,9.96,9.59,9.92,10.48,-0.60,-0.67,-0.22,0.68,2,3,3,1,1,1,2,1
VL09,Virginia,Sierra,2.17,3058,634.82,519.69,681.48,570.74,524.25,8.11,7.84,8.25,8.72,-1.35,-1.38,-0.81,-0.05,3,3,3,3,3,2,3,3
VL10,Virginia,Sierra,2.02,3110,616.02,519.69,681.48,575.31,524.25,8.11,7.84,8.25,8.72,-1.35,-1.38,-0.81,-0.05,2,3,2,2,1,1,3,2
VL11,Virginia,Sierra,1.87,3148,526.5,519.69,681.48,575.31,524.25,8.11,7.84,8.25,8.72,-1.35,-1.38,-0.81,-0.05,2,2,1,1,1,1,2,3
VL12,Virginia,Sierra,1.71,3167,251.71,519.69,681.48,575.31,524.25,8.11,7.84,8.25,8.72,-1.35,-1.38,-0.81,-0.05,3,2,3,3,3,2,3,3
VL13,Virginia,Sierra,2.47,3193,587.69,519.69,681.48,575.31,524.25,8.11,7.84,8.25,8.72,-1.35,-1.38,-0.81,-0.05,3,2,2,2,3,0,3,3
