canyon,mtnrange,sampled_area,elev_range,riparian_fragmentation,riparian_cover,rabbitbrush_cover,terrain_ruggedness_100,terrain_ruggedness_500,canyon_bottom_100,canyon_bottom_500,mean_precip_1995,mean_precip_1996,mean_precip_1997,mean_precip_1998,mean_precip_1999,mean_precip_2000,mean_precip_2001,mean_precip_2002,mean_precip_2003,mean_precip_2004,mean_precip_2005,mean_precip_2006,mean_precip_2007,mean_precip_2008,mean_precip_2009,mean_precip_2010,mean_precip_2011,mean_precip_2012,mean_precip_2013,mean_precip_2014,mean_maxtemp_1995,mean_maxtemp_1996,mean_maxtemp_1997,mean_maxtemp_1998,mean_maxtemp_1999,mean_maxtemp_2000,mean_maxtemp_2001,mean_maxtemp_2002,mean_maxtemp_2003,mean_maxtemp_2004,mean_maxtemp_2005,mean_maxtemp_2006,mean_maxtemp_2007,mean_maxtemp_2008,mean_maxtemp_2009,mean_maxtemp_2010,mean_maxtemp_2011,mean_maxtemp_2012,mean_maxtemp_2013,mean_maxtemp_2014,mean_mintemp_1995,mean_mintemp_1996,mean_mintemp_1997,mean_mintemp_1998,mean_mintemp_1999,mean_mintemp_2000,mean_mintemp_2001,mean_mintemp_2002,mean_mintemp_2003,mean_mintemp_2004,mean_mintemp_2005,mean_mintemp_2006,mean_mintemp_2007,mean_mintemp_2008,mean_mintemp_2009,mean_mintemp_2010,mean_mintemp_2011,mean_mintemp_2012,mean_mintemp_2013,mean_mintemp_2014
Kingston,Toiyabe,74.61,696,,,,,,,,760.65,418.23,535.00,814.61,511.82,384.45,387.31,388.23,454.01,417.61,563.67,468.08,441.05,342.65,514.64,430.67,636.99,327.22,370.44,447.14,10.33,12.97,11.47,10.50,11.11,13.45,12.34,12.65,12.30,12.66,12.03,13.16,13.22,12.43,12.99,11.97,11.95,13.32,12.59,13.01,0.62,1.86,1.27,0.73,0.66,2.17,1.46,1.55,1.89,2.27,2.17,2.61,2.45,1.38,2.48,1.25,1.77,2.80,2.14,2.93
Meadow,Toquima,60.77,509,378,0.058,0.12,240.587,278.349,0.404,0.166,656.79,406.70,543.67,700.33,464.97,382.06,346.10,314.25,409.50,346.25,648.66,465.28,391.67,303.27,487.03,386.54,612.55,349.86,349.00,426.22,11.63,14.30,12.67,11.35,12.03,14.39,12.93,13.51,13.65,13.24,12.41,13.39,13.66,12.94,13.22,12.08,12.41,13.65,13.22,13.50,-2.06,-1.03,-1.44,-1.94,-1.95,-0.60,-1.54,-1.18,-0.67,-0.62,-0.79,-0.36,-0.25,-1.29,-0.56,-1.68,-1.23,0.29,0.12,0.38
MooresEast,Toquima,38.18,369,1858,0.01,0.12,249.350,274.107,0.480,0.146,509.84,292.16,417.25,548.39,364.89,291.27,273.04,247.35,311.03,268.28,488.82,341.19,291.98,224.86,367.47,298.07,453.64,267.40,260.35,332.17,12.50,15.25,13.55,12.29,12.98,15.38,13.88,14.42,14.62,14.10,13.26,14.37,14.57,13.78,14.14,12.91,13.30,14.67,14.14,14.45,-0.77,0.18,-0.13,-0.64,-0.70,0.55,-0.36,-0.01,0.53,0.47,0.31,0.64,0.51,-0.47,0.41,-0.68,-0.08,1.14,0.95,1.23
MooresWest,Toquima,41.07,458,4732,0,0.11,250.402,264.598,0.029,0.028,474.41,271.02,392.13,506.83,340.01,270.92,251.17,224.99,289.24,247.19,454.75,312.88,266.40,208.23,334.26,273.34,414.46,244.81,239.25,312.78,13.03,15.72,14.04,12.77,13.45,15.85,14.39,14.90,15.11,14.59,13.77,14.85,15.06,14.32,14.63,13.45,13.80,15.12,14.64,14.93,-0.05,1.00,0.58,0.08,0.12,1.50,0.46,0.84,1.36,1.38,1.14,1.58,1.52,0.56,1.38,0.28,0.67,2.14,1.84,2.15
NorthTwin,Toiyabe,45.74,866,,,,,,,,784.47,469.87,683.17,840.39,570.83,481.42,395.29,407.64,514.51,412.47,706.47,535.64,464.16,361.82,566.67,448.43,671.54,370.94,395.00,495.37,9.46,11.94,10.44,9.25,9.78,12.16,10.95,11.37,11.21,11.61,10.72,11.64,11.94,11.25,11.55,10.56,10.67,11.96,11.50,11.84,-1.89,-0.72,-1.17,-1.78,-1.96,-0.36,-1.03,-0.93,-0.51,0.09,-0.10,0.42,0.27,-0.78,0.11,-1.04,-0.46,0.62,0.02,0.73
NorthumberlandEast,Toquima,62.20,528,5615,0,0.26,262.106,315.497,0.304,0.145,659.02,406.00,532.14,702.78,478.48,388.73,361.02,352.64,403.40,355.31,619.46,464.82,393.80,314.15,498.51,405.04,608.88,353.67,344.02,425.41,10.81,13.41,11.85,10.61,11.22,13.54,12.34,12.73,12.78,12.56,11.76,12.82,13.01,12.30,12.58,11.48,11.65,12.96,12.42,12.73,-0.65,0.39,-0.04,-0.45,-0.54,1.04,0.07,0.25,0.73,1.16,0.87,1.25,1.23,0.07,1.04,0.02,0.43,1.81,1.51,1.91
NorthumberlandWest,Toquima,49.20,681,1758,0.006,0.21,262.543,291.216,0.423,0.206,607.19,365.25,486.25,648.29,437.65,355.23,329.44,320.68,371.09,324.61,566.56,420.29,357.59,283.97,450.46,366.69,552.65,317.68,309.93,396.45,11.42,14.05,12.48,11.25,11.87,14.19,13.00,13.39,13.43,13.18,12.39,13.48,13.66,12.94,13.23,12.13,12.30,13.62,13.10,13.39,-0.33,0.72,0.30,-0.14,-0.18,1.39,0.41,0.61,1.08,1.47,1.19,1.53,1.55,0.37,1.35,0.35,0.71,2.11,1.78,2.20
Ophir,Toiyabe,39.36,1147,5,0.182,0.04,379.977,397.438,0.077,0.032,671.24,399.84,570.28,712.51,484.64,408.09,340.48,345.79,427.78,348.84,589.59,444.80,388.03,308.14,471.35,384.47,565.70,308.74,327.74,418.34,10.69,13.23,11.75,10.57,11.03,13.45,12.24,12.68,12.48,12.83,11.93,12.95,13.26,12.46,12.82,11.82,11.91,13.28,12.76,13.10,-0.92,0.20,-0.27,-0.84,-1.02,0.52,-0.14,-0.03,0.38,0.80,0.67,1.13,0.85,-0.20,0.83,-0.26,0.34,1.40,0.85,1.52
PetesEast,Toquima,35.45,275,,,,,,,,508.67,300.23,411.07,554.40,371.43,293.54,277.04,269.82,312.01,278.81,472.70,347.81,301.07,235.37,371.53,302.34,456.11,269.66,263.06,352.38,12.43,15.16,13.53,12.39,13.03,15.35,14.03,14.39,14.55,14.11,13.33,14.58,14.70,13.88,14.26,13.12,13.34,14.79,14.17,14.51,0.12,1.13,0.75,0.28,0.23,1.66,0.72,0.96,1.59,1.56,1.36,1.56,1.43,0.19,1.42,0.38,0.85,2.09,1.85,2.31
PetesWest,Toquima,56.61,527,,,,,,,,447.86,263.96,358.79,485.85,321.98,259.19,241.10,236.98,279.57,244.40,417.17,300.23,258.16,203.09,318.41,261.52,393.09,229.52,227.94,317.95,13.50,16.22,14.59,13.47,14.10,16.46,15.08,15.46,15.64,15.12,14.32,15.63,15.73,14.89,15.31,14.13,14.42,15.91,15.26,15.58,0.30,1.25,0.92,0.46,0.39,1.68,0.81,1.12,1.70,1.61,1.41,1.62,1.36,0.18,1.43,0.43,0.93,2.03,1.86,2.30
Riley,Shoshone,33.13,487,299,0.077,0.10,304.348,333.715,0.299,0.088,510.89,303.18,427.49,548.19,367.99,302.51,267.15,265.12,350.06,263.56,439.56,331.87,285.66,236.88,363.38,289.41,436.47,223.57,234.39,328.22,12.21,14.82,13.29,12.12,12.57,15.03,13.81,14.18,14.15,14.00,13.16,14.40,14.62,13.60,14.05,13.02,13.27,14.80,14.08,14.52,-0.75,-0.02,-0.14,-0.68,-0.84,0.37,-0.18,-0.02,0.60,0.56,0.43,0.89,0.30,-0.86,0.39,-0.49,0.19,1.49,1.26,1.84
SanJuan,Toiyabe,34.25,494,70,0.092,0.12,283.909,309.696,0.224,0.054,591.16,336.95,471.89,628.80,411.38,329.69,307.40,312.02,370.23,291.08,492.25,388.22,345.64,271.02,378.93,324.10,492.96,229.92,258.27,369.82,11.69,14.20,12.74,11.60,12.07,14.49,13.31,13.72,13.58,13.56,12.85,13.96,14.21,13.37,13.75,12.69,12.84,14.26,13.59,14.00,0.25,1.25,0.82,0.36,0.23,1.66,0.96,1.11,1.60,1.74,1.65,2.07,1.63,0.43,1.77,0.82,1.33,2.56,2.09,2.77
Schoonover,Shoshone,31.70,405,,,,,,,,509.53,295.64,405.14,544.06,359.39,288.03,262.11,257.56,342.40,258.06,431.53,323.85,289.81,233.70,353.32,290.59,440.95,221.98,234.94,327.67,12.49,15.08,13.59,12.45,12.92,15.34,14.13,14.43,14.48,14.28,13.53,14.75,14.83,13.99,14.33,13.23,13.49,15.05,14.38,14.86,0.03,0.95,0.71,0.18,0.08,1.36,0.66,0.89,1.50,1.39,1.23,1.69,1.30,0.11,1.52,0.41,0.89,2.24,1.93,2.60
SouthTwin,Toiyabe,53.55,936,,,,,,,,750.93,445.60,640.44,802.30,543.87,452.06,380.38,387.64,485.68,392.89,666.66,509.83,441.12,344.34,530.97,425.05,638.50,348.83,373.33,471.43,10.04,12.54,11.04,9.85,10.39,12.78,11.55,11.97,11.81,12.14,11.27,12.22,12.51,11.80,12.12,11.13,11.24,12.53,12.07,12.40,-1.39,-0.22,-0.69,-1.28,-1.46,0.11,-0.58,-0.46,-0.05,0.49,0.33,0.83,0.65,-0.38,0.52,-0.62,-0.02,1.04,0.48,1.16
Stewart,Toiyabe,41.01,969,1,0.089,0.03,351.916,383.015,0.113,0.050,799.93,474.30,710.61,858.25,585.36,499.68,398.50,416.70,526.65,418.39,707.22,535.31,472.56,366.18,583.01,455.60,678.23,374.93,400.05,500.64,9.33,11.92,10.43,9.25,9.68,12.11,10.93,11.33,11.15,11.29,10.51,11.58,11.90,11.11,11.44,10.45,10.59,12.01,11.41,11.76,-2.04,-0.93,-1.33,-1.92,-2.10,-0.61,-1.40,-1.17,-0.62,-0.27,-0.41,0.03,-0.18,-1.38,-0.43,-1.41,-0.84,0.39,-0.07,0.65
Stoneberger,Toquima,56.43,434,,,,,,,,609.40,364.64,491.54,656.75,449.93,352.66,333.66,330.04,372.32,334.32,558.90,426.10,364.04,289.20,454.20,369.17,554.79,321.21,318.11,405.79,11.17,13.78,12.27,11.13,11.68,13.98,12.86,13.18,13.17,13.07,12.27,13.41,13.60,12.81,13.17,12.10,12.24,13.57,13.03,13.30,0.00,1.07,0.61,0.16,0.03,1.67,0.75,0.89,1.39,1.79,1.58,1.87,1.81,0.62,1.76,0.68,1.11,2.35,1.97,2.47
Summit,Toiyabe,21.90,561,6,0.199,0.03,392.072,400.532,0.097,0.032,574.22,337.38,486.86,617.36,418.30,342.43,296.71,291.42,365.47,297.84,508.04,377.26,328.06,261.00,399.33,328.27,484.09,265.10,277.39,363.52,11.79,14.40,12.89,11.67,12.20,14.62,13.36,13.81,13.68,13.81,12.93,13.98,14.28,13.44,13.83,12.78,12.91,14.29,13.79,14.12,-0.43,0.63,0.23,-0.33,-0.51,0.94,0.28,0.38,0.83,1.15,1.03,1.44,1.13,0.06,1.15,0.13,0.74,1.79,1.36,1.94
Underdown,Shoshone,42.79,718,537,0.027,0.20,256.385,293.704,0.358,0.106,605.18,359.99,490.36,634.71,424.43,346.68,311.61,313.94,402.19,309.78,514.62,391.00,348.89,280.74,428.79,351.21,522.19,260.17,286.19,376.95,11.39,13.92,12.46,11.31,11.72,14.14,13.04,13.35,13.26,13.33,12.52,13.70,13.90,12.98,13.35,12.34,12.52,14.05,13.31,13.79,-0.53,0.38,0.13,-0.39,-0.56,0.76,0.22,0.36,0.89,0.90,0.79,1.32,0.94,-0.22,1.01,-0.05,0.55,1.94,1.44,2.14
Vales,Shoshone,14.45,171,,,,,,,,522.22,313.69,453.14,575.82,382.27,332.23,271.01,260.61,353.82,272.02,463.28,342.91,292.11,238.51,370.59,295.38,450.09,240.04,249.70,341.89,11.67,14.42,12.81,11.57,12.13,14.59,13.29,13.76,13.68,13.48,12.63,13.93,14.15,13.28,13.72,12.64,12.79,14.32,13.73,14.05,-0.58,0.43,0.06,-0.52,-0.64,0.61,-0.09,0.23,0.89,0.81,0.80,1.03,0.43,-0.70,0.49,-0.36,0.38,1.44,1.32,1.94
Wall,Toiyabe,40.01,572,815,0.01,0.22,269.521,311.790,0.436,0.112,535.04,309.28,454.01,564.35,382.09,315.71,273.59,245.83,350.69,269.15,498.68,354.34,293.33,231.27,367.03,296.60,451.74,264.67,257.89,346.92,12.54,15.34,13.69,12.27,13.04,15.53,14.13,14.62,14.58,14.31,13.34,14.47,14.82,14.16,14.57,13.29,13.35,14.79,14.44,14.70,-0.26,0.98,0.60,0.05,-0.13,1.19,0.16,0.63,1.28,1.17,1.03,1.23,1.42,0.42,1.03,0.08,0.66,1.83,1.62,2.23
WarEagle,Shoshone,33.33,761,,,,,,,,534.52,317.51,438.44,573.68,387.64,312.83,273.27,264.77,362.34,272.03,465.98,339.12,302.08,242.85,372.33,305.99,461.91,240.61,250.92,337.92,11.78,14.47,12.96,11.83,12.34,14.75,13.46,13.82,13.82,13.75,12.94,14.20,14.32,13.36,13.81,12.78,13.03,14.52,13.90,14.33,-0.22,0.69,0.39,-0.20,-0.28,0.81,0.27,0.58,1.14,1.08,0.96,1.47,0.76,-0.35,0.96,-0.07,0.66,1.77,1.48,2.15
Washington,Toiyabe,35.30,469,1,0.323,0.03,333.099,350.222,0.240,0.068,707.79,401.89,541.46,747.68,490.78,384.40,362.41,377.79,429.16,356.88,564.18,464.61,418.70,324.01,450.95,385.58,584.01,273.91,315.92,423.93,10.68,13.14,11.72,10.65,11.13,13.51,12.40,12.76,12.54,12.75,12.04,13.15,13.37,12.53,12.97,11.94,12.05,13.39,12.72,13.10,0.30,1.48,0.93,0.43,0.32,1.80,1.11,1.24,1.63,1.91,1.80,2.27,1.95,0.85,2.00,0.91,1.43,2.56,1.96,2.69
Willow,Shoshone,7.13,209,,,,,,,,892.04,515.12,672.83,922.03,620.02,479.81,461.01,486.15,530.36,462.80,702.56,593.83,540.01,414.53,582.16,490.74,739.91,353.31,417.57,514.62,9.35,11.79,10.43,9.34,9.91,12.22,11.13,11.48,11.13,11.68,10.93,11.97,12.20,11.41,11.89,10.98,10.96,12.26,11.57,11.94,-0.42,0.88,0.22,-0.33,-0.45,1.13,0.53,0.66,0.92,1.42,1.28,1.87,1.64,0.59,1.62,0.43,0.94,1.98,1.23,2.13
