transect,canyon,range,transect_area,elev_mean,tri_Riley,precip_1995,precip_1996,precip_1997,precip_1998,precip_1999,precip_2000,precip_2001,precip_2002,precip_2003,precip_2004,precip_2005,precip_2006,precip_2007,precip_2008,precip_2009,precip_2010,precip_2011,precip_2012,precip_2013,precip_2014,maxtemp_1995,maxtemp_1996,maxtemp_1997,maxtemp_1998,maxtemp_1999,maxtemp_2000,maxtemp_2001,maxtemp_2002,maxtemp_2003,maxtemp_2004,maxtemp_2005,maxtemp_2006,maxtemp_2007,maxtemp_2008,maxtemp_2009,maxtemp_2010,maxtemp_2011,maxtemp_2012,maxtemp_2013,maxtemp_2014,mintemp_1995,mintemp_1996,mintemp_1997,mintemp_1998,mintemp_1999,mintemp_2000,mintemp_2001,mintemp_2002,mintemp_2003,mintemp_2004,mintemp_2005,mintemp_2006,mintemp_2007,mintemp_2008,mintemp_2009,mintemp_2010,mintemp_2011,mintemp_2012,mintemp_2013,mintemp_2014,nectar_2013,nectar_2014,mud_2013,mud_2014
BA07,Barrett,Shoshone,2.36544,2771,379.59,591.05,355.1,483.87,629.42,427.48,345.7,300.48,295.39,397.76,301.49,515.11,376.42,338.59,270.5,416.31,341.62,513.58,264.42,282.71,368.04,11.00,13.65,12.16,11.04,11.53,13.93,12.71,13.03,12.98,13.03,12.29,13.48,13.63,12.72,13.12,12.09,12.33,13.76,13.13,13.58,-0.18,0.78,0.47,-0.13,-0.16,0.95,0.41,0.74,1.23,1.24,1.10,1.73,1.10,-0.06,1.24,0.18,0.88,2.09,1.63,2.36,3,2,0,0
BC01,BigCreek,Toiyabe,9.71245,2088,659.02,980.71,547.63,644.65,1017.53,645.15,466.08,513.33,501.4,581.16,559.56,685.29,587.5,572.25,457.46,692.66,588.02,839.71,413.76,503.67,531.64,10.98,13.67,12.18,11.24,11.57,13.79,12.92,13.10,12.89,13.33,12.79,13.94,13.98,13.14,13.46,12.57,12.67,14.01,13.33,13.73,1.53,2.81,2.16,1.72,1.53,2.89,2.25,2.28,2.73,2.90,2.88,3.29,2.96,1.96,3.10,1.87,2.47,3.52,2.88,3.63,,,,
BC02,BigCreek,Toiyabe,7.89311,2178,660.30,980.71,547.63,644.65,1017.53,645.15,466.08,513.33,501.4,581.16,559.56,685.29,587.5,572.25,457.46,692.66,588.02,839.71,413.76,503.67,531.64,10.98,13.67,12.18,11.24,11.57,13.79,12.92,13.10,12.89,13.33,12.79,13.94,13.98,13.14,13.46,12.57,12.67,14.01,13.33,13.73,1.53,2.81,2.16,1.72,1.53,2.89,2.25,2.28,2.73,2.90,2.88,3.29,2.96,1.96,3.10,1.87,2.47,3.52,2.88,3.63,,,,
BC03,BigCreek,Toiyabe,5.47506,2271,668.05,980.71,547.63,644.65,1017.53,645.15,466.08,513.33,501.4,581.16,559.56,685.29,587.5,572.25,457.46,692.66,588.02,839.71,413.76,503.67,531.64,10.98,13.67,12.18,11.24,11.57,13.79,12.92,13.10,12.89,13.33,12.79,13.94,13.98,13.14,13.46,12.57,12.67,14.01,13.33,13.73,1.53,2.81,2.16,1.72,1.53,2.89,2.25,2.28,2.73,2.90,2.88,3.29,2.96,1.96,3.10,1.87,2.47,3.52,2.88,3.63,,,,
BC04,BigCreek,Toiyabe,5.77955,2372,735.87,886.71,498.1,589.79,938.53,576.84,425.46,459.25,447.3,519.7,494.77,625.86,534.92,504.94,409.71,618.24,520.68,762,371.86,448.3,488.69,8.66,11.35,9.85,8.93,9.35,11.55,10.54,10.80,10.46,11.24,10.60,11.70,11.73,10.96,11.38,10.52,10.54,11.89,11.12,11.53,-0.19,1.10,0.42,-0.14,-0.28,1.33,0.78,0.87,1.11,1.60,1.50,2.03,1.99,0.95,1.94,0.70,1.13,2.16,1.33,2.31,,,,
BC05,BigCreek,Toiyabe,2.98478,2470,632.50,886.71,498.1,589.79,938.53,576.84,425.46,459.25,447.3,519.7,494.77,625.86,534.92,504.94,409.71,618.24,520.68,762,371.86,448.3,488.69,8.66,11.35,9.85,8.93,9.35,11.55,10.54,10.80,10.46,11.24,10.60,11.70,11.73,10.96,11.38,10.52,10.54,11.89,11.12,11.53,-0.19,1.10,0.42,-0.14,-0.28,1.33,0.78,0.87,1.11,1.60,1.50,2.03,1.99,0.95,1.94,0.70,1.13,2.16,1.33,2.31,,,,
BC06,BigCreek,Toiyabe,3.29644,2568,764.88,886.71,498.1,589.79,938.53,576.84,425.46,459.25,447.3,519.7,494.77,625.86,534.92,504.94,409.71,618.24,520.68,762,371.86,448.3,488.69,8.66,11.35,9.85,8.93,9.35,11.55,10.54,10.80,10.46,11.24,10.60,11.70,11.73,10.96,11.38,10.52,10.54,11.89,11.12,11.53,-0.19,1.10,0.42,-0.14,-0.28,1.33,0.78,0.87,1.11,1.60,1.50,2.03,1.99,0.95,1.94,0.70,1.13,2.16,1.33,2.31,,,,
BC07,BigCreek,Toiyabe,1.06346,2633,452.71,886.71,498.1,589.79,938.53,576.84,425.46,459.25,447.3,519.7,494.77,625.86,534.92,504.94,409.71,618.24,520.68,762,371.86,448.3,488.69,8.66,11.35,9.85,8.93,9.35,11.55,10.54,10.80,10.46,11.24,10.60,11.70,11.73,10.96,11.38,10.52,10.54,11.89,11.12,11.53,-0.19,1.10,0.42,-0.14,-0.28,1.33,0.78,0.87,1.11,1.60,1.50,2.03,1.99,0.95,1.94,0.70,1.13,2.16,1.33,2.31,,,,
BE01,Becker,Shoshone,10.7698,2181,714.80,342.38,205.21,310.92,391.17,268.48,226.06,189.74,180.61,256.28,182.62,303.8,226.31,171.94,161.54,246.13,180.86,287.27,161.55,150.87,235.45,13.98,16.70,15.12,13.89,14.38,16.99,15.47,15.98,16.02,15.68,14.61,15.97,16.27,14.98,15.68,14.68,14.91,16.56,15.87,16.26,-2.48,-2.20,-1.99,-2.65,-2.95,-2.23,-2.44,-2.27,-1.64,-1.72,-1.63,-1.36,-2.48,-3.63,-2.38,-2.98,-2.07,-1.13,-0.85,-0.54,3,1,3,1
BE02,Becker,Shoshone,5.66182,2277,619.04,603.75,367.8,508.76,642.11,434.11,361.7,308.59,311.16,407.41,314.45,526.05,393.95,346.2,278.12,436.12,350.75,520.45,266.95,290.32,378.21,11.03,13.63,12.13,10.94,11.35,13.80,12.68,12.98,12.87,12.91,12.19,13.34,13.55,12.62,12.98,11.99,12.27,13.65,12.93,13.43,-0.26,0.47,0.44,-0.03,-0.11,1.08,0.47,0.79,1.38,1.30,1.13,1.68,1.06,-0.03,1.13,0.28,1.04,2.31,1.90,2.53,2,1,0,0
BE03,Becker,Shoshone,1.93706,2345,512.59,603.75,367.8,508.76,642.11,434.11,361.7,308.59,311.16,407.41,314.45,526.05,393.95,346.2,278.12,436.12,350.75,520.45,266.95,290.32,378.21,11.03,13.63,12.13,10.94,11.35,13.80,12.68,12.98,12.87,12.91,12.19,13.34,13.55,12.62,12.98,11.99,12.27,13.65,12.93,13.43,-0.26,0.47,0.44,-0.03,-0.11,1.08,0.47,0.79,1.38,1.30,1.13,1.68,1.06,-0.03,1.13,0.28,1.04,2.31,1.90,2.53,1,1,0,0
BI01,Birch,Toiyabe,9.79236,1973,640.77,892.04,515.12,672.83,922.03,620.02,479.81,461.01,486.15,530.36,462.8,702.56,593.83,540.01,414.53,582.16,490.74,739.91,353.31,417.57,514.62,9.35,11.79,10.43,9.34,9.91,12.22,11.13,11.48,11.13,11.68,10.93,11.97,12.20,11.41,11.89,10.98,10.96,12.26,11.57,11.94,-0.42,0.88,0.22,-0.33,-0.45,1.13,0.53,0.66,0.92,1.42,1.28,1.87,1.64,0.59,1.62,0.43,0.94,1.98,1.23,2.13,3,3,3,3
BI02,Birch,Toiyabe,8.48422,2071,687.99,892.04,515.12,672.83,922.03,620.02,479.81,461.01,486.15,530.36,462.8,702.56,593.83,540.01,414.53,582.16,490.74,739.91,353.31,417.57,514.62,9.35,11.79,10.43,9.34,9.91,12.22,11.13,11.48,11.13,11.68,10.93,11.97,12.20,11.41,11.89,10.98,10.96,12.26,11.57,11.94,-0.42,0.88,0.22,-0.33,-0.45,1.13,0.53,0.66,0.92,1.42,1.28,1.87,1.64,0.59,1.62,0.43,0.94,1.98,1.23,2.13,3,3,3,2
BI03,Birch,Toiyabe,10.5198,2164,623.68,892.04,515.12,672.83,922.03,620.02,479.81,461.01,486.15,530.36,462.8,702.56,593.83,540.01,414.53,582.16,490.74,739.91,353.31,417.57,514.62,9.35,11.79,10.43,9.34,9.91,12.22,11.13,11.48,11.13,11.68,10.93,11.97,12.20,11.41,11.89,10.98,10.96,12.26,11.57,11.94,-0.42,0.88,0.22,-0.33,-0.45,1.13,0.53,0.66,0.92,1.42,1.28,1.87,1.64,0.59,1.62,0.43,0.94,1.98,1.23,2.13,3,3,2,2
BI04,Birch,Toiyabe,7.19921,2244,706.67,892.04,515.12,672.83,922.03,620.02,479.81,461.01,486.15,530.36,462.8,702.56,593.83,540.01,414.53,582.16,490.74,739.91,353.31,417.57,514.62,9.35,11.79,10.43,9.34,9.91,12.22,11.13,11.48,11.13,11.68,10.93,11.97,12.20,11.41,11.89,10.98,10.96,12.26,11.57,11.94,-0.42,0.88,0.22,-0.33,-0.45,1.13,0.53,0.66,0.92,1.42,1.28,1.87,1.64,0.59,1.62,0.43,0.94,1.98,1.23,2.13,3,3,3,3
BI05,Birch,Toiyabe,5.17899,2341,704.93,892.04,515.12,672.83,922.03,620.02,479.81,461.01,486.15,530.36,462.8,702.56,593.83,540.01,414.53,582.16,490.74,739.91,353.31,417.57,514.62,9.35,11.79,10.43,9.34,9.91,12.22,11.13,11.48,11.13,11.68,10.93,11.97,12.20,11.41,11.89,10.98,10.96,12.26,11.57,11.94,-0.42,0.88,0.22,-0.33,-0.45,1.13,0.53,0.66,0.92,1.42,1.28,1.87,1.64,0.59,1.62,0.43,0.94,1.98,1.23,2.13,3,3,3,3
BI06,Birch,Toiyabe,3.93807,2442,709.19,892.04,515.12,672.83,922.03,620.02,479.81,461.01,486.15,530.36,462.8,702.56,593.83,540.01,414.53,582.16,490.74,739.91,353.31,417.57,514.62,9.35,11.79,10.43,9.34,9.91,12.22,11.13,11.48,11.13,11.68,10.93,11.97,12.20,11.41,11.89,10.98,10.96,12.26,11.57,11.94,-0.42,0.88,0.22,-0.33,-0.45,1.13,0.53,0.66,0.92,1.42,1.28,1.87,1.64,0.59,1.62,0.43,0.94,1.98,1.23,2.13,3,3,3,1
BI07,Birch,Toiyabe,5.57685,2535,733.38,892.04,515.12,672.83,922.03,620.02,479.81,461.01,486.15,530.36,462.8,702.56,593.83,540.01,414.53,582.16,490.74,739.91,353.31,417.57,514.62,9.35,11.79,10.43,9.34,9.91,12.22,11.13,11.48,11.13,11.68,10.93,11.97,12.20,11.41,11.89,10.98,10.96,12.26,11.57,11.94,-0.42,0.88,0.22,-0.33,-0.45,1.13,0.53,0.66,0.92,1.42,1.28,1.87,1.64,0.59,1.62,0.43,0.94,1.98,1.23,2.13,3,2,0,3
CL01,Clear,Toiyabe,6.87663,2322,621.05,392.43,221.49,354.58,440.69,298.21,257.06,209.8,196.33,277.36,203.96,347.73,252.47,208.04,175.27,272.79,214.12,322.83,188.72,180.1,269.74,13.43,16.17,14.57,13.35,13.86,16.38,14.89,15.36,15.43,15.08,14.05,15.37,15.67,14.43,15.11,14.12,14.33,15.93,15.28,15.58,-1.56,-0.99,-1.07,-1.70,-2.03,-1.05,-1.63,-1.38,-0.50,-0.87,-0.85,-0.70,-1.73,-2.93,-1.62,-2.21,-1.31,-0.32,-0.03,0.28,,,,
CL02,Clear,Toiyabe,6.00584,2421,761.79,669.04,391.92,600.22,733.05,492.51,420.89,334,342.39,436.36,346.46,587.25,440.94,385.08,302.52,477.53,380,562.1,309.11,332.99,423.93,10.45,13.08,11.54,10.38,10.80,13.25,12.05,12.46,12.31,12.21,11.38,12.53,12.87,12.06,12.43,11.38,11.56,12.98,12.34,12.73,-1.41,-0.37,-0.72,-1.26,-1.49,-0.05,-0.89,-0.73,-0.05,0.28,0.20,0.54,0.23,-1.01,0.04,-0.90,-0.25,1.03,0.76,1.37,,,,
CL03,Clear,Toiyabe,4.79834,2563,825.71,669.04,391.92,600.22,733.05,492.51,420.89,334,342.39,436.36,346.46,587.25,440.94,385.08,302.52,477.53,380,562.1,309.11,332.99,423.93,10.45,13.08,11.54,10.38,10.80,13.25,12.05,12.46,12.31,12.21,11.38,12.53,12.87,12.06,12.43,11.38,11.56,12.98,12.34,12.73,-1.41,-0.37,-0.72,-1.26,-1.49,-0.05,-0.89,-0.73,-0.05,0.28,0.20,0.54,0.23,-1.01,0.04,-0.90,-0.25,1.03,0.76,1.37,,,,
CL04,Clear,Toiyabe,2.97634,2667,779.65,669.04,391.92,600.22,733.05,492.51,420.89,334,342.39,436.36,346.46,587.25,440.94,385.08,302.52,477.53,380,562.1,309.11,332.99,423.93,10.45,13.08,11.54,10.38,10.80,13.25,12.05,12.46,12.31,12.21,11.38,12.53,12.87,12.06,12.43,11.38,11.56,12.98,12.34,12.73,-1.41,-0.37,-0.72,-1.26,-1.49,-0.05,-0.89,-0.73,-0.05,0.28,0.20,0.54,0.23,-1.01,0.04,-0.90,-0.25,1.03,0.76,1.37,,,,
CL05,Clear,Toiyabe,2.76613,2766,668.85,669.04,391.92,600.22,733.05,492.51,420.89,334,342.39,436.36,346.46,587.25,440.94,385.08,302.52,477.53,380,562.1,309.11,332.99,423.93,10.45,13.08,11.54,10.38,10.80,13.25,12.05,12.46,12.31,12.21,11.38,12.53,12.87,12.06,12.43,11.38,11.56,12.98,12.34,12.73,-1.41,-0.37,-0.72,-1.26,-1.49,-0.05,-0.89,-0.73,-0.05,0.28,0.20,0.54,0.23,-1.01,0.04,-0.90,-0.25,1.03,0.76,1.37,,,,
CL06,Clear,Toiyabe,4.33494,2890,856.71,870.44,527.55,766.56,932.69,628.91,540.25,435.09,460,565.41,454.14,771.13,591.06,525.52,406.64,632.95,511.29,743.45,402.84,443.23,541.02,8.50,10.95,9.53,8.33,8.81,11.19,10.03,10.48,10.21,10.78,9.90,10.82,11.16,10.42,10.73,9.77,9.87,11.18,10.61,11.00,-2.23,-1.03,-1.53,-2.15,-2.33,-0.64,-1.29,-1.22,-0.85,-0.16,-0.38,0.19,0.08,-1.06,-0.07,-1.24,-0.77,0.36,-0.37,0.48,,,,
CL07,Clear,Toiyabe,2.70425,2983,783.57,870.44,527.55,766.56,932.69,628.91,540.25,435.09,460,565.41,454.14,771.13,591.06,525.52,406.64,632.95,511.29,743.45,402.84,443.23,541.02,8.50,10.95,9.53,8.33,8.81,11.19,10.03,10.48,10.21,10.78,9.90,10.82,11.16,10.42,10.73,9.77,9.87,11.18,10.61,11.00,-2.23,-1.03,-1.53,-2.15,-2.33,-0.64,-1.29,-1.22,-0.85,-0.16,-0.38,0.19,0.08,-1.06,-0.07,-1.24,-0.77,0.36,-0.37,0.48,,,,
CL08,Clear,Toiyabe,3.18885,3095,857.50,870.44,527.55,766.56,932.69,628.91,540.25,435.09,460,565.41,454.14,771.13,591.06,525.52,406.64,632.95,511.29,743.45,402.84,443.23,541.02,8.50,10.95,9.53,8.33,8.81,11.19,10.03,10.48,10.21,10.78,9.90,10.82,11.16,10.42,10.73,9.77,9.87,11.18,10.61,11.00,-2.23,-1.03,-1.53,-2.15,-2.33,-0.64,-1.29,-1.22,-0.85,-0.16,-0.38,0.19,0.08,-1.06,-0.07,-1.24,-0.77,0.36,-0.37,0.48,,,,
CL09,Clear,Toiyabe,3.08897,3218,996.18,870.44,527.55,766.56,932.69,628.91,540.25,435.09,460,565.41,454.14,771.13,591.06,525.52,406.64,632.95,511.29,743.45,402.84,443.23,541.02,8.50,10.95,9.53,8.33,8.81,11.19,10.03,10.48,10.21,10.78,9.90,10.82,11.16,10.42,10.73,9.77,9.87,11.18,10.61,11.00,-2.23,-1.03,-1.53,-2.15,-2.33,-0.64,-1.29,-1.22,-0.85,-0.16,-0.38,0.19,0.08,-1.06,-0.07,-1.24,-0.77,0.36,-0.37,0.48,,,,
CNM,Corcoran,Toquima,6.42255,2243,423.70,464.07,265.67,379.5,504.43,326.64,260.87,250.71,204.73,288.81,243.09,468.62,305.81,260.87,200.66,327.16,267.46,417.82,252.23,239.51,306.55,13.05,15.86,14.16,12.80,13.55,15.96,14.29,15.03,15.13,14.60,13.71,14.83,15.03,14.16,14.58,13.28,13.73,15.16,14.61,14.94,-1.29,-0.43,-0.59,-1.24,-1.40,-0.24,-0.98,-0.63,-0.03,-0.43,-0.48,-0.39,-0.61,-1.52,-0.59,-1.68,-0.88,0.26,0.33,0.46,,,,
CNN01,Corcoran,Toquima,8.60149,2289,594.69,581.15,356.62,468.38,610.36,405.12,329.44,311.15,275.08,356.87,303.28,571.24,404.87,334.76,265.43,424.94,341.89,534.68,312.17,302.51,367.54,12.17,14.88,13.21,11.89,12.60,14.99,13.44,14.08,14.22,13.73,12.90,13.97,14.17,13.43,13.74,12.54,12.90,14.16,13.71,13.99,-1.83,-0.78,-1.17,-1.69,-1.74,-0.38,-1.37,-0.94,-0.38,-0.53,-0.69,-0.38,-0.38,-1.46,-0.58,-1.68,-1.13,0.45,0.31,0.58,,,,
CNN02,Corcoran,Toquima,10.9854,2385,734.40,581.15,356.62,468.38,610.36,405.12,329.44,311.15,275.08,356.87,303.28,571.24,404.87,334.76,265.43,424.94,341.89,534.68,312.17,302.51,367.54,12.17,14.88,13.21,11.89,12.60,14.99,13.44,14.08,14.22,13.73,12.90,13.97,14.17,13.43,13.74,12.54,12.90,14.16,13.71,13.99,-1.83,-0.78,-1.17,-1.69,-1.74,-0.38,-1.37,-0.94,-0.38,-0.53,-0.69,-0.38,-0.38,-1.46,-0.58,-1.68,-1.13,0.45,0.31,0.58,,,,
CNN03,Corcoran,Toquima,6.37942,2481,646.00,581.15,356.62,468.38,610.36,405.12,329.44,311.15,275.08,356.87,303.28,571.24,404.87,334.76,265.43,424.94,341.89,534.68,312.17,302.51,367.54,12.17,14.88,13.21,11.89,12.60,14.99,13.44,14.08,14.22,13.73,12.90,13.97,14.17,13.43,13.74,12.54,12.90,14.16,13.71,13.99,-1.83,-0.78,-1.17,-1.69,-1.74,-0.38,-1.37,-0.94,-0.38,-0.53,-0.69,-0.38,-0.38,-1.46,-0.58,-1.68,-1.13,0.45,0.31,0.58,,,,
CNS01,Corcoran,Toquima,6.04571,2289,501.95,581.15,356.62,468.38,610.36,405.12,329.44,311.15,275.08,356.87,303.28,571.24,404.87,334.76,265.43,424.94,341.89,534.68,312.17,302.51,367.54,12.17,14.88,13.21,11.89,12.60,14.99,13.44,14.08,14.22,13.73,12.90,13.97,14.17,13.43,13.74,12.54,12.90,14.16,13.71,13.99,-1.83,-0.78,-1.17,-1.69,-1.74,-0.38,-1.37,-0.94,-0.38,-0.53,-0.69,-0.38,-0.38,-1.46,-0.58,-1.68,-1.13,0.45,0.31,0.58,,,,
CNS02,Corcoran,Toquima,6.2612,2350,585.81,581.15,356.62,468.38,610.36,405.12,329.44,311.15,275.08,356.87,303.28,571.24,404.87,334.76,265.43,424.94,341.89,534.68,312.17,302.51,367.54,12.17,14.88,13.21,11.89,12.60,14.99,13.44,14.08,14.22,13.73,12.90,13.97,14.17,13.43,13.74,12.54,12.90,14.16,13.71,13.99,-1.83,-0.78,-1.17,-1.69,-1.74,-0.38,-1.37,-0.94,-0.38,-0.53,-0.69,-0.38,-0.38,-1.46,-0.58,-1.68,-1.13,0.45,0.31,0.58,,,,
CT01,Cottonwood,Toiyabe,4.90158,2147,429.55,373.88,208.53,304.04,427.23,264.66,216.41,194.83,188.96,255.53,179.34,314.7,239,202.68,168.39,241.81,213.09,314.22,149.85,149.1,260.1,14.33,17.04,15.44,14.33,14.88,17.34,15.86,16.26,16.36,15.89,14.94,16.43,16.56,15.46,16.05,14.88,15.23,16.87,16.13,16.50,-0.27,0.35,0.21,-0.35,-0.53,0.52,-0.12,0.18,1.02,0.70,0.57,0.82,0.02,-1.02,0.25,-0.49,0.11,1.08,1.19,1.67,,,,
CT02,Cottonwood,Toiyabe,2.58368,2163,335.37,373.88,208.53,304.04,427.23,264.66,216.41,194.83,188.96,255.53,179.34,314.7,239,202.68,168.39,241.81,213.09,314.22,149.85,149.1,260.1,14.33,17.04,15.44,14.33,14.88,17.34,15.86,16.26,16.36,15.89,14.94,16.43,16.56,15.46,16.05,14.88,15.23,16.87,16.13,16.50,-0.27,0.35,0.21,-0.35,-0.53,0.52,-0.12,0.18,1.02,0.70,0.57,0.82,0.02,-1.02,0.25,-0.49,0.11,1.08,1.19,1.67,,,,
CT03,Cottonwood,Toiyabe,11.3104,2237,814.64,672.33,384.29,531.13,706.62,463.81,369.82,347.74,357.64,411.99,330.7,554.22,442.98,397.26,308.61,427.5,365.24,558.28,258.07,298.71,409.44,11.00,13.47,12.04,10.92,11.39,13.78,12.64,13.08,12.85,13.03,12.34,13.38,13.64,12.85,13.23,12.22,12.32,13.67,12.98,13.40,0.38,1.50,0.96,0.53,0.40,1.92,1.23,1.33,1.71,2.03,1.95,2.44,2.07,0.87,2.17,1.13,1.68,2.88,2.24,2.98,,,,
